,subname,runs,nii_exists,rms_exists,rms_mean,rms_valid,rms_above_02,rms_above_02_valid
0,HCD2754061_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.074370193,FALSE,0.037735849,FALSE
1,HCD2754061_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.124072456,FALSE,0.090146751,FALSE
2,HCD2754061_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.088288294,FALSE,0.096436059,FALSE
3,HCD2754061_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.045249623,FALSE,0.008385744,FALSE
4,HCD2606652_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.06117953,FALSE,0.023060797,FALSE
5,HCD2606652_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.055545764,FALSE,0.014675052,FALSE
6,HCD2606652_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.064725119,FALSE,0.018867925,FALSE
7,HCD2606652_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.044697896,FALSE,0.008385744,FALSE
8,HCD1156036_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.088484297,FALSE,0.041928721,FALSE
9,HCD1156036_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.056502002,FALSE,0,FALSE
10,HCD1156036_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.062337096,FALSE,0,FALSE
11,HCD1156036_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.046292436,FALSE,0,FALSE
12,HCD1227740_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.07307004,FALSE,0.016771488,FALSE
13,HCD1227740_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.04428748,FALSE,0.002096436,FALSE
14,HCD1227740_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.098634647,FALSE,0.05870021,FALSE
15,HCD1227740_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.09294601,FALSE,0.037735849,FALSE
16,HCD2491257_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.085954022,FALSE,0.002096436,FALSE
17,HCD2491257_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.052759971,FALSE,0,FALSE
18,HCD2491257_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.066208861,FALSE,0.002096436,FALSE
19,HCD2491257_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.060035563,FALSE,0,FALSE
20,HCD0026119_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.105271501,FALSE,0.016771488,FALSE
21,HCD0026119_V1_MR,rfMRI_REST1_PA,TRUE,TRUE,0.068811373,FALSE,0,FALSE
22,HCD0026119_V1_MR,rfMRI_REST2_AP,TRUE,TRUE,0.076541744,FALSE,0.008385744,FALSE
23,HCD0026119_V1_MR,rfMRI_REST2_PA,TRUE,TRUE,0.072169297,FALSE,0.027253669,FALSE
24,HCD1113220_V1_MR,rfMRI_REST1_AP,TRUE,TRUE,0.083921125,FALSE,0.008385744,FALSE
